Date;JourDeLaSemaine;Heure;ZoneAnalyse;Presence30Min;Continent;Pays;CategorieVisiteurs;TypeDeJour;Volume
2017-05-15;Lundi;16:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;45
2017-05-15;Lundi;17:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;22
2017-05-15;Lundi;17:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;99
2017-05-15;Lundi;18:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;32
2017-05-15;Lundi;19:00:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;46
2017-05-15;Lundi;19:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;46
2017-05-15;Lundi;20:00:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;46
2017-05-15;Lundi;20:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;87
2017-05-15;Lundi;20:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;80
2017-05-15;Lundi;20:30:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;44
2017-05-15;Lundi;21:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;54
2017-05-15;Lundi;22:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;35
2017-05-15;Lundi;22:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;22
2017-05-15;Lundi;22:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;35
2017-05-15;Lundi;23:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;87
2017-05-15;Lundi;23:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;22
2017-05-15;Lundi;23:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;69
2017-05-16;Mardi;00:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;22
2017-05-16;Mardi;01:00:00;Zone FIMU;Present;Amérique;Reste Du Monde;Touriste Etranger;Periode normale;121
2017-05-16;Mardi;06:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;46
2017-05-16;Mardi;07:00:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;46
2017-05-16;Mardi;09:00:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;46
2017-05-16;Mardi;09:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;46
2017-05-16;Mardi;10:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;46
2017-05-16;Mardi;11:00:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;46
2017-05-16;Mardi;11:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;46
2017-05-16;Mardi;12:00:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;46
2017-05-16;Mardi;12:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;22
2017-05-16;Mardi;12:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;46
2017-05-16;Mardi;13:00:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;46
2017-05-16;Mardi;14:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;31
2017-05-16;Mardi;15:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;54
2017-05-16;Mardi;15:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;73
2017-05-16;Mardi;15:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;54
2017-05-16;Mardi;17:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;35
2017-05-16;Mardi;17:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;31
2017-05-16;Mardi;17:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;46
2017-05-16;Mardi;17:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;69
