Date;JourDeLaSemaine;TypeNuitee;ZoneNuitee;ZoneAnalyse;CategorieVisiteurs;TypeDeJour;Volume
2017-05-17;Mercredi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-17;Mercredi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;411
2017-05-17;Mercredi;Veille;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;57
2017-05-17;Mercredi;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Etranger;Periode normale;26
2017-05-17;Mercredi;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;214
2017-05-17;Mercredi;Veille;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;154
2017-05-17;Mercredi;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;682
2017-05-17;Mercredi;Veille;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;47
2017-05-17;Mercredi;Veille;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;76
2017-05-17;Mercredi;Veille;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;21
2017-05-17;Mercredi;Veille;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;301
2017-05-17;Mercredi;Veille;Reste Doubs;Zone FIMU;Resident;Periode normale;31
2017-05-17;Mercredi;Veille;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;343
2017-05-17;Mercredi;Veille;Reste Haute Saone;Zone FIMU;Resident;Periode normale;199
2017-05-17;Mercredi;Veille;Reste Haute Saone;Zone FIMU;Touriste Etranger;Periode normale;58
2017-05-17;Mercredi;Veille;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;457
2017-05-17;Mercredi;Veille;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;985
2017-05-17;Mercredi;Veille;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-17;Mercredi;Veille;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;229
2017-05-17;Mercredi;Veille;Ville de Belfort;Zone FIMU;Resident;Periode normale;8119
2017-05-17;Mercredi;Veille;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;113
2017-05-17;Mercredi;Veille;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;2893
2017-05-17;Mercredi;Veille;Vosges;Zone FIMU;Touriste Français;Periode normale;#
2017-05-18;Jeudi;Veille;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;2149
2017-05-18;Jeudi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-18;Jeudi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;441
2017-05-18;Jeudi;Veille;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;29
2017-05-18;Jeudi;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-18;Jeudi;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;284
2017-05-18;Jeudi;Veille;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;145
2017-05-18;Jeudi;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-18;Jeudi;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;708
2017-05-18;Jeudi;Veille;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;54
2017-05-18;Jeudi;Veille;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;67
2017-05-18;Jeudi;Veille;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;180
2017-05-18;Jeudi;Veille;Reste Doubs;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-18;Jeudi;Veille;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;544
2017-05-18;Jeudi;Veille;Reste Haute Saone;Zone FIMU;Resident;Periode normale;243
2017-05-18;Jeudi;Veille;Reste Haute Saone;Zone FIMU;Touriste Etranger;Periode normale;64
2017-05-18;Jeudi;Veille;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;464
2017-05-18;Jeudi;Veille;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;1201
2017-05-18;Jeudi;Veille;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;52
2017-05-18;Jeudi;Veille;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;135
2017-05-18;Jeudi;Veille;Ville de Belfort;Zone FIMU;Resident;Periode normale;8196
2017-05-18;Jeudi;Veille;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;84
2017-05-18;Jeudi;Veille;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;2804
2017-05-18;Jeudi;Veille;Vosges;Zone FIMU;Touriste Français;Periode normale;#
2017-05-19;Vendredi;Veille;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;2053
2017-05-19;Vendredi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;350
2017-05-19;Vendredi;Veille;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;45
2017-05-19;Vendredi;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Etranger;Periode normale;27
2017-05-19;Vendredi;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;232
2017-05-19;Vendredi;Veille;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;85
2017-05-19;Vendredi;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;702
2017-05-19;Vendredi;Veille;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;114
2017-05-19;Vendredi;Veille;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;#
2017-05-19;Vendredi;Veille;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;22
2017-05-19;Vendredi;Veille;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;203
2017-05-19;Vendredi;Veille;Reste Doubs;Zone FIMU;Resident;Periode normale;29
2017-05-19;Vendredi;Veille;Reste Doubs;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Veille;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;407
2017-05-19;Vendredi;Veille;Reste Haute Saone;Zone FIMU;Resident;Periode normale;135
2017-05-19;Vendredi;Veille;Reste Haute Saone;Zone FIMU;Touriste Etranger;Periode normale;53
2017-05-19;Vendredi;Veille;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;398
2017-05-19;Vendredi;Veille;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;1104
2017-05-19;Vendredi;Veille;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Veille;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;302
2017-05-19;Vendredi;Veille;Ville de Belfort;Zone FIMU;Resident;Periode normale;8375
2017-05-19;Vendredi;Veille;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;93
2017-05-19;Vendredi;Veille;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;2833
2017-05-19;Vendredi;Veille;Vosges;Zone FIMU;Resident;Periode normale;#
2017-05-19;Vendredi;Veille;Vosges;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Veille;Vosges;Zone FIMU;Touriste Français;Periode normale;27
2017-05-20;Samedi;Veille;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;1808
2017-05-20;Samedi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-20;Samedi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;441
2017-05-20;Samedi;Veille;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;#
2017-05-20;Samedi;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-20;Samedi;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;111
2017-05-20;Samedi;Veille;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;63
2017-05-20;Samedi;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;471
2017-05-20;Samedi;Veille;Haut Rhin Nord;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-20;Samedi;Veille;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;120
