Date;JourDeLaSemaine;TypeNuitee;ZoneNuitee;ZoneAnalyse;CategorieVisiteurs;TypeDeJour;Volume
2017-05-15;Lundi;Soir;Ville de Belfort;Zone FIMU;Resident;Periode normale;8426
2017-05-15;Lundi;Soir;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;127
2017-05-15;Lundi;Soir;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;3149
2017-05-16;Mardi;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;2281
2017-05-16;Mardi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;400
2017-05-16;Mardi;Soir;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;39
2017-05-16;Mardi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Etranger;Periode normale;21
2017-05-16;Mardi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;232
2017-05-16;Mardi;Soir;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;77
2017-05-16;Mardi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;714
2017-05-16;Mardi;Soir;Haut Rhin Nord;Zone FIMU;Resident;Periode normale;#
2017-05-16;Mardi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;66
2017-05-16;Mardi;Soir;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;55
2017-05-16;Mardi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;37
2017-05-16;Mardi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;244
2017-05-16;Mardi;Soir;Reste Doubs;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Soir;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;447
2017-05-16;Mardi;Soir;Reste Haute Saone;Zone FIMU;Resident;Periode normale;166
2017-05-16;Mardi;Soir;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;535
2017-05-16;Mardi;Soir;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;1494
2017-05-16;Mardi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;259
2017-05-16;Mardi;Soir;Ville de Belfort;Zone FIMU;Resident;Periode normale;8482
2017-05-16;Mardi;Soir;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;109
2017-05-16;Mardi;Soir;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;3296
2017-05-16;Mardi;Soir;Vosges;Zone FIMU;Resident;Periode normale;#
2017-05-16;Mardi;Soir;Vosges;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Soir;Vosges;Zone FIMU;Touriste Français;Periode normale;40
2017-05-17;Mercredi;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;2117
2017-05-17;Mercredi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-17;Mercredi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;360
2017-05-17;Mercredi;Soir;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;57
2017-05-17;Mercredi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Etranger;Periode normale;26
2017-05-17;Mercredi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;183
