Date;JourDeLaSemaine;ZoneAnalyse;CSP;Geolife;CategorieVisiteurs;VisiteurUniqueSur;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Resident;14 jours;Periode normale;1925
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Touriste Français;01 jours;Periode normale;429
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Touriste Français;02 jours;Periode normale;429
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Touriste Français;03 jours;Periode normale;429
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Touriste Français;04 jours;Periode normale;429
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Touriste Français;05 jours;Periode normale;429
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Touriste Français;06 jours;Periode normale;429
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Touriste Français;07 jours;Periode normale;429
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Touriste Français;08 jours;Periode normale;429
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Touriste Français;09 jours;Periode normale;429
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Touriste Français;10 jours;Periode normale;429
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Touriste Français;11 jours;Periode normale;429
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Touriste Français;12 jours;Periode normale;429
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Touriste Français;13 jours;Periode normale;429
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Touriste Français;14 jours;Periode normale;429
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Resident;01 jours;Periode normale;395
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Resident;02 jours;Periode normale;395
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Resident;03 jours;Periode normale;395
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Resident;04 jours;Periode normale;395
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Resident;05 jours;Periode normale;395
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Resident;06 jours;Periode normale;395
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Resident;07 jours;Periode normale;395
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Resident;08 jours;Periode normale;395
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Resident;09 jours;Periode normale;395
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Resident;10 jours;Periode normale;395
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Resident;11 jours;Periode normale;395
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Resident;12 jours;Periode normale;395
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Resident;13 jours;Periode normale;395
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Resident;14 jours;Periode normale;395
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;01 jours;Periode normale;1073
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;02 jours;Periode normale;1073
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;03 jours;Periode normale;1073
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;04 jours;Periode normale;1073
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;05 jours;Periode normale;1073
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;06 jours;Periode normale;1073
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;07 jours;Periode normale;1073
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;08 jours;Periode normale;1073
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;09 jours;Periode normale;1073
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;10 jours;Periode normale;1073
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;11 jours;Periode normale;1073
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;12 jours;Periode normale;1073
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;13 jours;Periode normale;1073
2017-05-10;Mercredi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;14 jours;Periode normale;1073
2017-05-10;Mercredi;Zone FIMU;Populaire;rural traditionnel;Resident;01 jours;Periode normale;694
2017-05-10;Mercredi;Zone FIMU;Populaire;rural traditionnel;Resident;02 jours;Periode normale;694
2017-05-10;Mercredi;Zone FIMU;Populaire;rural traditionnel;Resident;03 jours;Periode normale;694
2017-05-10;Mercredi;Zone FIMU;Populaire;rural traditionnel;Resident;04 jours;Periode normale;694
2017-05-10;Mercredi;Zone FIMU;Populaire;rural traditionnel;Resident;05 jours;Periode normale;694
