Date;JourDeLaSemaine;ZoneAnalyse;Continent;Pays;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-19;Vendredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;Visiteur;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Europe;Espagne;Touriste Etranger;Visiteur;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Europe;Italie;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Europe;Italie;Touriste Etranger;Visiteur;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;Visiteur;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;Visiteur;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;Visiteur;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Europe;Scandinavie;Touriste Etranger;Visiteur;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Europe;Suisse;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Europe;Suisse;Touriste Etranger;Visiteur;Periode normale;42
2017-05-20;Samedi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-20;Samedi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;Visiteur;Periode normale;42
2017-05-20;Samedi;Zone FIMU;Asie;Asie Océanie;Touriste Etranger;Visiteur;Periode normale;#
2017-05-20;Samedi;Zone FIMU;Asie;Chine;Touriste Etranger;Visiteur;Periode normale;#
2017-05-20;Samedi;Zone FIMU;Europe;Allemagne;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-20;Samedi;Zone FIMU;Europe;Allemagne;Touriste Etranger;Visiteur;Periode normale;26
2017-05-20;Samedi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-20;Samedi;Zone FIMU;Europe;Autre pays d'Europe;Touriste Etranger;Visiteur;Periode normale;34
2017-05-20;Samedi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-20;Samedi;Zone FIMU;Europe;Belgique+Luxembourg;Touriste Etranger;Visiteur;Periode normale;#
2017-05-20;Samedi;Zone FIMU;Europe;Espagne;Touriste Etranger;Visiteur;Periode normale;#
2017-05-20;Samedi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;Excursionniste;Periode normale;#
2017-05-20;Samedi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;Visiteur;Periode normale;#
2017-05-20;Samedi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;Visiteur;Periode normale;#
