Date;JourDeLaSemaine;ZoneAnalyse;CSP;Geolife;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-12;Vendredi;Zone FIMU;CSP+;NR;Touriste Français;Excursionniste;Periode normale;85
2017-05-12;Vendredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;Excursionniste;Periode normale;169
2017-05-12;Vendredi;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;Visiteur;Periode normale;1465
2017-05-12;Vendredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;Excursionniste;Periode normale;176
2017-05-12;Vendredi;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;Visiteur;Periode normale;762
2017-05-12;Vendredi;Zone FIMU;CSP+;rural dynamique;Resident;Excursionniste;Periode normale;98
2017-05-12;Vendredi;Zone FIMU;CSP+;rural dynamique;Resident;Visiteur;Periode normale;576
2017-05-12;Vendredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;Excursionniste;Periode normale;123
2017-05-12;Vendredi;Zone FIMU;CSP+;rural dynamique;Touriste Français;Visiteur;Periode normale;570
2017-05-12;Vendredi;Zone FIMU;CSP+;urbain dynamique;Resident;Excursionniste;Periode normale;464
2017-05-12;Vendredi;Zone FIMU;CSP+;urbain dynamique;Resident;Visiteur;Periode normale;3269
2017-05-12;Vendredi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;Visiteur;Periode normale;72
2017-05-12;Vendredi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;Visiteur;Periode normale;102
2017-05-12;Vendredi;Zone FIMU;NR;NR;Resident;Excursionniste;Periode normale;85
2017-05-12;Vendredi;Zone FIMU;NR;NR;Resident;Visiteur;Periode normale;179
2017-05-12;Vendredi;Zone FIMU;NR;NR;Touriste Français;Excursionniste;Periode normale;96
2017-05-12;Vendredi;Zone FIMU;NR;NR;Touriste Français;Visiteur;Periode normale;3473
2017-05-12;Vendredi;Zone FIMU;Populaire;NR;Resident;Excursionniste;Periode normale;85
2017-05-12;Vendredi;Zone FIMU;Populaire;NR;Touriste Français;Excursionniste;Periode normale;85
2017-05-12;Vendredi;Zone FIMU;Populaire;populaire;Resident;Excursionniste;Periode normale;336
2017-05-12;Vendredi;Zone FIMU;Populaire;populaire;Resident;Visiteur;Periode normale;2139
2017-05-12;Vendredi;Zone FIMU;Populaire;populaire;Touriste Français;Excursionniste;Periode normale;66
2017-05-12;Vendredi;Zone FIMU;Populaire;populaire;Touriste Français;Visiteur;Periode normale;436
2017-05-12;Vendredi;Zone FIMU;Populaire;rural ouvrier;Resident;Excursionniste;Periode normale;80
2017-05-12;Vendredi;Zone FIMU;Populaire;rural ouvrier;Resident;Visiteur;Periode normale;415
2017-05-12;Vendredi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;Excursionniste;Periode normale;252
2017-05-12;Vendredi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;Visiteur;Periode normale;1033
2017-05-12;Vendredi;Zone FIMU;Populaire;rural traditionnel;Resident;Excursionniste;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;Populaire;rural traditionnel;Resident;Visiteur;Periode normale;665
2017-05-12;Vendredi;Zone FIMU;Populaire;rural traditionnel;Touriste Français;Excursionniste;Periode normale;100
2017-05-12;Vendredi;Zone FIMU;Populaire;rural traditionnel;Touriste Français;Visiteur;Periode normale;147
2017-05-12;Vendredi;Zone FIMU;Populaire;urbain defavorise;Resident;Excursionniste;Periode normale;222
2017-05-12;Vendredi;Zone FIMU;Populaire;urbain defavorise;Resident;Visiteur;Periode normale;1460
2017-05-12;Vendredi;Zone FIMU;Populaire;urbain defavorise;Touriste Français;Excursionniste;Periode normale;51
2017-05-12;Vendredi;Zone FIMU;Populaire;urbain defavorise;Touriste Français;Visiteur;Periode normale;134
2017-05-14;Dimanche;Zone FIMU;CSP en croissance;NR;Touriste Français;Excursionniste;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;Excursionniste;Periode normale;84
2017-05-14;Dimanche;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;Visiteur;Periode normale;888
2017-05-14;Dimanche;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;Excursionniste;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;Visiteur;Periode normale;306
2017-05-14;Dimanche;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;Visiteur;Periode normale;22
2017-05-14;Dimanche;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;Excursionniste;Periode normale;378
2017-05-14;Dimanche;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;Visiteur;Periode normale;3261
2017-05-14;Dimanche;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;Excursionniste;Periode normale;48
2017-05-14;Dimanche;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;Visiteur;Periode normale;195
2017-05-14;Dimanche;Zone FIMU;CSP+;NR;Touriste Français;Excursionniste;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;CSP+;pavillonnaire familial aise;Resident;Visiteur;Periode normale;494
2017-05-14;Dimanche;Zone FIMU;CSP+;pavillonnaire familial aise;Touriste Français;Visiteur;Periode normale;462
2017-05-14;Dimanche;Zone FIMU;CSP+;rural dynamique;Resident;Excursionniste;Periode normale;49
2017-05-14;Dimanche;Zone FIMU;CSP+;rural dynamique;Resident;Visiteur;Periode normale;221
2017-05-14;Dimanche;Zone FIMU;CSP+;rural dynamique;Touriste Français;Excursionniste;Periode normale;36
2017-05-14;Dimanche;Zone FIMU;CSP+;rural dynamique;Touriste Français;Visiteur;Periode normale;283
2017-05-14;Dimanche;Zone FIMU;CSP+;urbain dynamique;Resident;Excursionniste;Periode normale;159
2017-05-14;Dimanche;Zone FIMU;CSP+;urbain dynamique;Resident;Visiteur;Periode normale;2860
2017-05-14;Dimanche;Zone FIMU;CSP+;urbain dynamique;Touriste Français;Visiteur;Periode normale;49
2017-05-14;Dimanche;Zone FIMU;CSP+;urbain familial aise;Touriste Français;Visiteur;Periode normale;107
2017-05-14;Dimanche;Zone FIMU;NR;NR;Resident;Visiteur;Periode normale;187
2017-05-14;Dimanche;Zone FIMU;NR;NR;Touriste Français;Excursionniste;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;NR;NR;Touriste Français;Visiteur;Periode normale;1951
2017-05-14;Dimanche;Zone FIMU;Populaire;NR;Touriste Français;Excursionniste;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Populaire;populaire;Resident;Excursionniste;Periode normale;151
2017-05-14;Dimanche;Zone FIMU;Populaire;populaire;Resident;Visiteur;Periode normale;1196
2017-05-14;Dimanche;Zone FIMU;Populaire;populaire;Touriste Français;Excursionniste;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Populaire;populaire;Touriste Français;Visiteur;Periode normale;476
2017-05-14;Dimanche;Zone FIMU;Populaire;rural ouvrier;Resident;Excursionniste;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Populaire;rural ouvrier;Resident;Visiteur;Periode normale;174
