Date;JourDeLaSemaine;ZoneAnalyse;DureeVisite;CategorieVisiteurs;TypeDeJour;Volume
2017-05-20;Samedi;Zone FIMU;Duree9h;Resident;Periode normale;238
2017-05-20;Samedi;Zone FIMU;Duree9h;Touriste Etranger;Periode normale;29
2017-05-20;Samedi;Zone FIMU;Duree9h;Touriste Français;Periode normale;211
2017-05-21;Dimanche;Zone FIMU;Duree10h;Resident;Periode normale;377
2017-05-21;Dimanche;Zone FIMU;Duree10h;Touriste Etranger;Periode normale;#
2017-05-21;Dimanche;Zone FIMU;Duree10h;Touriste Français;Periode normale;49
2017-05-21;Dimanche;Zone FIMU;Duree10h-18h;Resident;Periode normale;2788
2017-05-21;Dimanche;Zone FIMU;Duree10h-18h;Touriste Etranger;Periode normale;26
2017-05-21;Dimanche;Zone FIMU;Duree10h-18h;Touriste Français;Periode normale;1222
2017-05-21;Dimanche;Zone FIMU;Duree2h;Resident;Periode normale;1179
2017-05-21;Dimanche;Zone FIMU;Duree2h;Touriste Etranger;Periode normale;32
2017-05-21;Dimanche;Zone FIMU;Duree2h;Touriste Français;Periode normale;586
2017-05-21;Dimanche;Zone FIMU;Duree3h;Resident;Periode normale;2178
2017-05-21;Dimanche;Zone FIMU;Duree3h;Touriste Etranger;Periode normale;41
2017-05-21;Dimanche;Zone FIMU;Duree3h;Touriste Français;Periode normale;951
2017-05-21;Dimanche;Zone FIMU;Duree4h;Resident;Periode normale;681
2017-05-21;Dimanche;Zone FIMU;Duree4h;Touriste Etranger;Periode normale;#
2017-05-21;Dimanche;Zone FIMU;Duree4h;Touriste Français;Periode normale;411
2017-05-21;Dimanche;Zone FIMU;Duree5h;Resident;Periode normale;678
2017-05-21;Dimanche;Zone FIMU;Duree5h;Touriste Etranger;Periode normale;#
2017-05-21;Dimanche;Zone FIMU;Duree5h;Touriste Français;Periode normale;259
2017-05-21;Dimanche;Zone FIMU;Duree6h;Resident;Periode normale;457
2017-05-21;Dimanche;Zone FIMU;Duree6h;Touriste Etranger;Periode normale;24
2017-05-21;Dimanche;Zone FIMU;Duree6h;Touriste Français;Periode normale;195
2017-05-21;Dimanche;Zone FIMU;Duree7h;Resident;Periode normale;645
2017-05-21;Dimanche;Zone FIMU;Duree7h;Touriste Etranger;Periode normale;52
2017-05-21;Dimanche;Zone FIMU;Duree7h;Touriste Français;Periode normale;185
2017-05-21;Dimanche;Zone FIMU;Duree8h;Resident;Periode normale;588
2017-05-21;Dimanche;Zone FIMU;Duree8h;Touriste Etranger;Periode normale;26
2017-05-21;Dimanche;Zone FIMU;Duree8h;Touriste Français;Periode normale;82
2017-05-21;Dimanche;Zone FIMU;Duree9h;Resident;Periode normale;324
2017-05-21;Dimanche;Zone FIMU;Duree9h;Touriste Etranger;Periode normale;22
2017-05-21;Dimanche;Zone FIMU;Duree9h;Touriste Français;Periode normale;63
2017-05-22;Lundi;Zone FIMU;Duree10h;Resident;Periode normale;379
2017-05-22;Lundi;Zone FIMU;Duree10h;Touriste Etranger;Periode normale;#
2017-05-22;Lundi;Zone FIMU;Duree10h;Touriste Français;Periode normale;286
2017-05-22;Lundi;Zone FIMU;Duree10h-18h;Resident;Periode normale;2500
