Date;JourDeLaSemaine;Heure;ZoneAnalyse;Presence30Min;CategorieVisiteurs;TypeDeJour;Volume
2017-05-11;Jeudi;05:00:00;Zone FIMU;Present;Resident;Periode normale;467
2017-05-11;Jeudi;05:00:00;Zone FIMU;Present;Touriste Français;Periode normale;237
2017-05-11;Jeudi;05:30:00;Zone FIMU;Present;Resident;Periode normale;441
2017-05-11;Jeudi;06:00:00;Zone FIMU;Present;Resident;Periode normale;1462
2017-05-11;Jeudi;06:00:00;Zone FIMU;Present;Touriste Français;Periode normale;344
2017-05-11;Jeudi;06:30:00;Zone FIMU;Present;Resident;Periode normale;1345
2017-05-11;Jeudi;06:30:00;Zone FIMU;Present;Touriste Français;Periode normale;688
2017-05-11;Jeudi;07:00:00;Zone FIMU;Present;Resident;Periode normale;4277
2017-05-11;Jeudi;07:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1517
2017-05-11;Jeudi;07:30:00;Zone FIMU;Present;Resident;Periode normale;6661
2017-05-11;Jeudi;07:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2560
2017-05-11;Jeudi;08:00:00;Zone FIMU;Present;Resident;Periode normale;8683
2017-05-11;Jeudi;08:00:00;Zone FIMU;Present;Touriste Français;Periode normale;3003
2017-05-11;Jeudi;08:30:00;Zone FIMU;Present;Resident;Periode normale;8947
2017-05-11;Jeudi;08:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;81
2017-05-11;Jeudi;08:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1878
2017-05-11;Jeudi;09:00:00;Zone FIMU;Present;Resident;Periode normale;8899
2017-05-11;Jeudi;09:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;168
2017-05-11;Jeudi;09:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2011
2017-05-11;Jeudi;09:30:00;Zone FIMU;Present;Resident;Periode normale;9601
2017-05-11;Jeudi;09:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2923
2017-05-11;Jeudi;10:00:00;Zone FIMU;Present;Resident;Periode normale;9493
2017-05-11;Jeudi;10:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1644
2017-05-11;Jeudi;10:30:00;Zone FIMU;Present;Resident;Periode normale;10710
2017-05-11;Jeudi;10:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;47
2017-05-11;Jeudi;10:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2518
2017-05-11;Jeudi;11:00:00;Zone FIMU;Present;Resident;Periode normale;10127
2017-05-11;Jeudi;11:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2344
2017-05-11;Jeudi;11:30:00;Zone FIMU;Present;Resident;Periode normale;10720
2017-05-11;Jeudi;11:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;64
2017-05-11;Jeudi;11:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2332
2017-05-11;Jeudi;12:00:00;Zone FIMU;Present;Resident;Periode normale;10262
2017-05-11;Jeudi;12:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2207
2017-05-11;Jeudi;12:30:00;Zone FIMU;Present;Resident;Periode normale;10629
2017-05-11;Jeudi;12:30:00;Zone FIMU;Present;Touriste Français;Periode normale;3122
2017-05-11;Jeudi;13:00:00;Zone FIMU;Present;Resident;Periode normale;7904
2017-05-11;Jeudi;13:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;46
2017-05-11;Jeudi;13:00:00;Zone FIMU;Present;Touriste Français;Periode normale;3474
2017-05-11;Jeudi;13:30:00;Zone FIMU;Present;Resident;Periode normale;7964
2017-05-11;Jeudi;13:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;57
2017-05-11;Jeudi;13:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2826
2017-05-11;Jeudi;14:00:00;Zone FIMU;Present;Resident;Periode normale;9973
2017-05-11;Jeudi;14:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;100
2017-05-11;Jeudi;14:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2150
2017-05-11;Jeudi;14:30:00;Zone FIMU;Present;Resident;Periode normale;9307
2017-05-11;Jeudi;14:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2891
2017-05-11;Jeudi;15:00:00;Zone FIMU;Present;Resident;Periode normale;7871
2017-05-11;Jeudi;15:00:00;Zone FIMU;Present;Touriste Français;Periode normale;3086
2017-05-11;Jeudi;15:30:00;Zone FIMU;Present;Resident;Periode normale;11228
2017-05-11;Jeudi;15:30:00;Zone FIMU;Present;Touriste Français;Periode normale;3189
2017-05-11;Jeudi;16:00:00;Zone FIMU;Present;Resident;Periode normale;8768
2017-05-11;Jeudi;16:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2712
2017-05-11;Jeudi;16:30:00;Zone FIMU;Present;Resident;Periode normale;9439
2017-05-11;Jeudi;16:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;274
2017-05-11;Jeudi;16:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2937
2017-05-11;Jeudi;17:00:00;Zone FIMU;Present;Resident;Periode normale;8771
2017-05-11;Jeudi;17:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;160
2017-05-11;Jeudi;17:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2757
2017-05-11;Jeudi;17:30:00;Zone FIMU;Present;Resident;Periode normale;10317
2017-05-11;Jeudi;17:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;160
2017-05-11;Jeudi;17:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2694
2017-05-11;Jeudi;18:00:00;Zone FIMU;Present;Resident;Periode normale;9909
2017-05-11;Jeudi;18:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;55
2017-05-11;Jeudi;18:00:00;Zone FIMU;Present;Touriste Français;Periode normale;3324
2017-05-11;Jeudi;18:30:00;Zone FIMU;Present;Resident;Periode normale;8599
2017-05-11;Jeudi;18:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;33
2017-05-11;Jeudi;18:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2585
2017-05-11;Jeudi;19:00:00;Zone FIMU;Present;Resident;Periode normale;8438
2017-05-11;Jeudi;19:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;100
2017-05-11;Jeudi;19:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2337
2017-05-11;Jeudi;19:30:00;Zone FIMU;Present;Resident;Periode normale;7195
2017-05-11;Jeudi;19:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;300
2017-05-11;Jeudi;19:30:00;Zone FIMU;Present;Touriste Français;Periode normale;3367
2017-05-11;Jeudi;20:00:00;Zone FIMU;Present;Resident;Periode normale;6048
2017-05-11;Jeudi;20:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;120
2017-05-11;Jeudi;20:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2251
2017-05-11;Jeudi;20:30:00;Zone FIMU;Present;Resident;Periode normale;7364
2017-05-11;Jeudi;20:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2869
2017-05-11;Jeudi;21:00:00;Zone FIMU;Present;Resident;Periode normale;7926
2017-05-11;Jeudi;21:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;43
2017-05-11;Jeudi;21:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2933
2017-05-11;Jeudi;21:30:00;Zone FIMU;Present;Resident;Periode normale;8809
2017-05-11;Jeudi;21:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;27
2017-05-11;Jeudi;21:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2877
2017-05-11;Jeudi;22:00:00;Zone FIMU;Present;Resident;Periode normale;7847
2017-05-11;Jeudi;22:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;56
2017-05-11;Jeudi;22:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2323
2017-05-11;Jeudi;22:30:00;Zone FIMU;Present;Resident;Periode normale;6464
2017-05-11;Jeudi;22:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;79
2017-05-11;Jeudi;22:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2392
2017-05-11;Jeudi;23:00:00;Zone FIMU;Present;Resident;Periode normale;6097
2017-05-11;Jeudi;23:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;23
2017-05-11;Jeudi;23:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2262
2017-05-11;Jeudi;23:30:00;Zone FIMU;Present;Resident;Periode normale;5122
2017-05-11;Jeudi;23:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;37
2017-05-11;Jeudi;23:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1666
2017-05-12;Vendredi;00:00:00;Zone FIMU;Present;Resident;Periode normale;3622
2017-05-12;Vendredi;00:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1311
2017-05-12;Vendredi;00:30:00;Zone FIMU;Present;Resident;Periode normale;3011
2017-05-12;Vendredi;00:30:00;Zone FIMU;Present;Touriste Français;Periode normale;302
2017-05-12;Vendredi;01:00:00;Zone FIMU;Present;Resident;Periode normale;1633
2017-05-12;Vendredi;01:00:00;Zone FIMU;Present;Touriste Français;Periode normale;455
2017-05-12;Vendredi;01:30:00;Zone FIMU;Present;Resident;Periode normale;1078
2017-05-12;Vendredi;01:30:00;Zone FIMU;Present;Touriste Français;Periode normale;474
2017-05-12;Vendredi;02:00:00;Zone FIMU;Present;Resident;Periode normale;609
2017-05-12;Vendredi;02:30:00;Zone FIMU;Present;Resident;Periode normale;547
2017-05-12;Vendredi;03:30:00;Zone FIMU;Present;Resident;Periode normale;570
2017-05-12;Vendredi;03:30:00;Zone FIMU;Present;Touriste Français;Periode normale;204
2017-05-12;Vendredi;04:00:00;Zone FIMU;Present;Resident;Periode normale;319
2017-05-12;Vendredi;04:00:00;Zone FIMU;Present;Touriste Français;Periode normale;586
2017-05-12;Vendredi;04:30:00;Zone FIMU;Present;Touriste Français;Periode normale;204
2017-05-12;Vendredi;05:00:00;Zone FIMU;Present;Resident;Periode normale;623
2017-05-12;Vendredi;05:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;23
2017-05-12;Vendredi;05:30:00;Zone FIMU;Present;Resident;Periode normale;421
2017-05-12;Vendredi;05:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;23
2017-05-12;Vendredi;06:00:00;Zone FIMU;Present;Resident;Periode normale;1325
2017-05-12;Vendredi;06:00:00;Zone FIMU;Present;Touriste Français;Periode normale;168
2017-05-12;Vendredi;06:30:00;Zone FIMU;Present;Resident;Periode normale;1773
2017-05-12;Vendredi;06:30:00;Zone FIMU;Present;Touriste Français;Periode normale;495
2017-05-12;Vendredi;07:00:00;Zone FIMU;Present;Resident;Periode normale;3028
2017-05-12;Vendredi;07:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1302
2017-05-12;Vendredi;07:30:00;Zone FIMU;Present;Resident;Periode normale;8530
2017-05-12;Vendredi;07:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2118
2017-05-12;Vendredi;08:00:00;Zone FIMU;Present;Resident;Periode normale;9268
2017-05-12;Vendredi;08:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1732
2017-05-12;Vendredi;08:30:00;Zone FIMU;Present;Resident;Periode normale;10917
2017-05-12;Vendredi;08:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1746
2017-05-12;Vendredi;09:00:00;Zone FIMU;Present;Resident;Periode normale;8952
2017-05-12;Vendredi;09:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1350
2017-05-12;Vendredi;09:30:00;Zone FIMU;Present;Resident;Periode normale;8934
2017-05-12;Vendredi;09:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2039
2017-05-12;Vendredi;10:00:00;Zone FIMU;Present;Resident;Periode normale;10079
2017-05-12;Vendredi;10:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1713
2017-05-12;Vendredi;10:30:00;Zone FIMU;Present;Resident;Periode normale;9719
2017-05-12;Vendredi;10:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2802
2017-05-12;Vendredi;11:00:00;Zone FIMU;Present;Resident;Periode normale;9314
2017-05-12;Vendredi;11:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;35
2017-05-12;Vendredi;11:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2582
2017-05-12;Vendredi;11:30:00;Zone FIMU;Present;Resident;Periode normale;10550
2017-05-12;Vendredi;11:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2493
2017-05-12;Vendredi;12:00:00;Zone FIMU;Present;Resident;Periode normale;9322
2017-05-12;Vendredi;12:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;98
2017-05-12;Vendredi;12:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2741
2017-05-12;Vendredi;12:30:00;Zone FIMU;Present;Resident;Periode normale;9143
2017-05-12;Vendredi;12:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;88
2017-05-12;Vendredi;12:30:00;Zone FIMU;Present;Touriste Français;Periode normale;3198
2017-05-12;Vendredi;13:00:00;Zone FIMU;Present;Resident;Periode normale;8480
2017-05-12;Vendredi;13:00:00;Zone FIMU;Present;Touriste Français;Periode normale;3060
2017-05-12;Vendredi;13:30:00;Zone FIMU;Present;Resident;Periode normale;9686
2017-05-12;Vendredi;13:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1680
2017-05-12;Vendredi;14:00:00;Zone FIMU;Present;Resident;Periode normale;10152
2017-05-12;Vendredi;14:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2505
2017-05-12;Vendredi;14:30:00;Zone FIMU;Present;Resident;Periode normale;10156
2017-05-12;Vendredi;14:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;47
2017-05-12;Vendredi;14:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2998
