Date;JourDeLaSemaine;ZoneAnalyse;Genre;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-22;Lundi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;3286
2017-05-23;Mardi;Zone FIMU;F;Resident;Excursionniste;Periode normale;861
2017-05-23;Mardi;Zone FIMU;F;Resident;Visiteur;Periode normale;7672
2017-05-23;Mardi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;407
2017-05-23;Mardi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2254
2017-05-23;Mardi;Zone FIMU;H;Resident;Excursionniste;Periode normale;825
2017-05-23;Mardi;Zone FIMU;H;Resident;Visiteur;Periode normale;7071
2017-05-23;Mardi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;273
2017-05-23;Mardi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;2047
2017-05-23;Mardi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;270
2017-05-23;Mardi;Zone FIMU;NR;Resident;Visiteur;Periode normale;485
2017-05-23;Mardi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;166
2017-05-23;Mardi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;3225
2017-05-24;Mercredi;Zone FIMU;F;Resident;Excursionniste;Periode normale;836
2017-05-24;Mercredi;Zone FIMU;F;Resident;Visiteur;Periode normale;7572
2017-05-24;Mercredi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;275
2017-05-24;Mercredi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2046
2017-05-24;Mercredi;Zone FIMU;H;Resident;Excursionniste;Periode normale;791
2017-05-24;Mercredi;Zone FIMU;H;Resident;Visiteur;Periode normale;6452
2017-05-24;Mercredi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;363
2017-05-24;Mercredi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;2099
2017-05-24;Mercredi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;256
2017-05-24;Mercredi;Zone FIMU;NR;Resident;Visiteur;Periode normale;491
2017-05-24;Mercredi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;239
2017-05-24;Mercredi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;2987
2017-05-25;Jeudi;Zone FIMU;F;Resident;Excursionniste;Periode normale;341
2017-05-25;Jeudi;Zone FIMU;F;Resident;Visiteur;Periode normale;4484
2017-05-25;Jeudi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;291
2017-05-25;Jeudi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;1553
2017-05-25;Jeudi;Zone FIMU;H;Resident;Excursionniste;Periode normale;483
2017-05-25;Jeudi;Zone FIMU;H;Resident;Visiteur;Periode normale;4124
2017-05-25;Jeudi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;253
2017-05-25;Jeudi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;1509
2017-05-25;Jeudi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;77
2017-05-25;Jeudi;Zone FIMU;NR;Resident;Visiteur;Periode normale;934
2017-05-25;Jeudi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;68
2017-05-25;Jeudi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;863
2017-05-26;Vendredi;Zone FIMU;F;Resident;Excursionniste;Periode normale;585
2017-05-26;Vendredi;Zone FIMU;F;Resident;Visiteur;Periode normale;5885
2017-05-26;Vendredi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;389
2017-05-26;Vendredi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2402
2017-05-26;Vendredi;Zone FIMU;H;Resident;Excursionniste;Periode normale;569
2017-05-26;Vendredi;Zone FIMU;H;Resident;Visiteur;Periode normale;5572
2017-05-26;Vendredi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;329
2017-05-26;Vendredi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;2177
2017-05-26;Vendredi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;147
2017-05-26;Vendredi;Zone FIMU;NR;Resident;Visiteur;Periode normale;1398
2017-05-26;Vendredi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;212
2017-05-26;Vendredi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;1308
2017-05-27;Samedi;Zone FIMU;F;Resident;Excursionniste;Periode normale;548
2017-05-27;Samedi;Zone FIMU;F;Resident;Visiteur;Periode normale;5782
2017-05-27;Samedi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;230
2017-05-27;Samedi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2301
2017-05-27;Samedi;Zone FIMU;H;Resident;Excursionniste;Periode normale;544
2017-05-27;Samedi;Zone FIMU;H;Resident;Visiteur;Periode normale;5388
2017-05-27;Samedi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;385
2017-05-27;Samedi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;2740
2017-05-27;Samedi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;35
2017-05-27;Samedi;Zone FIMU;NR;Resident;Visiteur;Periode normale;208
2017-05-27;Samedi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;146
2017-05-27;Samedi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;1918
2017-05-28;Dimanche;Zone FIMU;F;Resident;Excursionniste;Periode normale;382
2017-05-28;Dimanche;Zone FIMU;F;Resident;Visiteur;Periode normale;4661
2017-05-28;Dimanche;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;233
2017-05-28;Dimanche;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;1480
2017-05-28;Dimanche;Zone FIMU;H;Resident;Excursionniste;Periode normale;363
2017-05-28;Dimanche;Zone FIMU;H;Resident;Visiteur;Periode normale;4224
2017-05-28;Dimanche;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;266
2017-05-28;Dimanche;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;1624
2017-05-28;Dimanche;Zone FIMU;NR;Resident;Excursionniste;Periode normale;85
2017-05-28;Dimanche;Zone FIMU;NR;Resident;Visiteur;Periode normale;999
2017-05-28;Dimanche;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;57
2017-05-28;Dimanche;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;879
2017-05-29;Lundi;Zone FIMU;F;Resident;Excursionniste;Periode normale;629
2017-05-29;Lundi;Zone FIMU;F;Resident;Visiteur;Periode normale;7098
2017-05-29;Lundi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;228
2017-05-29;Lundi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;1692
2017-05-29;Lundi;Zone FIMU;H;Resident;Excursionniste;Periode normale;686
2017-05-29;Lundi;Zone FIMU;H;Resident;Visiteur;Periode normale;6267
2017-05-29;Lundi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;233
2017-05-29;Lundi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;1837
2017-05-29;Lundi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;282
2017-05-29;Lundi;Zone FIMU;NR;Resident;Visiteur;Periode normale;318
2017-05-29;Lundi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;220
2017-05-29;Lundi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;2936
2017-05-30;Mardi;Zone FIMU;F;Resident;Excursionniste;Periode normale;870
2017-05-30;Mardi;Zone FIMU;F;Resident;Visiteur;Periode normale;7763
2017-05-30;Mardi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;307
2017-05-30;Mardi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2223
2017-05-30;Mardi;Zone FIMU;H;Resident;Excursionniste;Periode normale;634
2017-05-30;Mardi;Zone FIMU;H;Resident;Visiteur;Periode normale;6765
2017-05-30;Mardi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;254
2017-05-30;Mardi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;2127
2017-05-30;Mardi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;310
2017-05-30;Mardi;Zone FIMU;NR;Resident;Visiteur;Periode normale;2054
2017-05-30;Mardi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;247
2017-05-30;Mardi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;1737
