Date;JourDeLaSemaine;Genre;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-05-06;Vendredi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;12751
2016-05-06;Vendredi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;4169
2016-05-06;Vendredi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;1933
2016-05-06;Vendredi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;660
2016-05-06;Vendredi;F;Visiteur;Journee;Résident ;All-FIMU;6770
2016-05-06;Vendredi;F;Visiteur;Journee;Touriste Français;All-FIMU;2002
2016-05-06;Vendredi;F;Excursionniste;Journee;Résident ;All-FIMU;937
2016-05-06;Vendredi;F;Excursionniste;Journee;Touriste Français;All-FIMU;380
2016-05-06;Vendredi;H;Visiteur;Journee;Résident ;All-FIMU;5613
2016-05-06;Vendredi;H;Visiteur;Journee;Touriste Français;All-FIMU;2096
2016-05-06;Vendredi;H;Excursionniste;Journee;Résident ;All-FIMU;927
2016-05-06;Vendredi;H;Excursionniste;Journee;Touriste Français;All-FIMU;237
2016-05-06;Vendredi;NR;Visiteur;Journee;Résident ;All-FIMU;368
2016-05-06;Vendredi;NR;Visiteur;Journee;Touriste Français;All-FIMU;71
2016-05-06;Vendredi;NR;Excursionniste;Journee;Résident ;All-FIMU;69
2016-05-06;Vendredi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;43
2016-05-07;Samedi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;12246
2016-05-07;Samedi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;4062
2016-05-07;Samedi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;1735
2016-05-07;Samedi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;645
2016-05-07;Samedi;F;Visiteur;Journee;Résident ;All-FIMU;6198
2016-05-07;Samedi;F;Visiteur;Journee;Touriste Français;All-FIMU;1903
2016-05-07;Samedi;F;Excursionniste;Journee;Résident ;All-FIMU;858
2016-05-07;Samedi;F;Excursionniste;Journee;Touriste Français;All-FIMU;370
2016-05-07;Samedi;H;Visiteur;Journee;Résident ;All-FIMU;5669
2016-05-07;Samedi;H;Visiteur;Journee;Touriste Français;All-FIMU;2079
2016-05-07;Samedi;H;Excursionniste;Journee;Résident ;All-FIMU;818
2016-05-07;Samedi;H;Excursionniste;Journee;Touriste Français;All-FIMU;254
2016-05-07;Samedi;NR;Visiteur;Journee;Résident ;All-FIMU;379
2016-05-07;Samedi;NR;Visiteur;Journee;Touriste Français;All-FIMU;80
2016-05-07;Samedi;NR;Excursionniste;Journee;Résident ;All-FIMU;59
2016-05-07;Samedi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;21
2016-05-08;Dimanche;CUMUL;Visiteur;Journee;Résident ;All-FIMU;8742
2016-05-08;Dimanche;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;2271
2016-05-08;Dimanche;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;1457
2016-05-08;Dimanche;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;459
2016-05-08;Dimanche;F;Visiteur;Journee;Résident ;All-FIMU;4516
2016-05-08;Dimanche;F;Visiteur;Journee;Touriste Français;All-FIMU;1099
2016-05-08;Dimanche;F;Excursionniste;Journee;Résident ;All-FIMU;709
2016-05-08;Dimanche;F;Excursionniste;Journee;Touriste Français;All-FIMU;184
2016-05-08;Dimanche;H;Visiteur;Journee;Résident ;All-FIMU;4017
2016-05-08;Dimanche;H;Visiteur;Journee;Touriste Français;All-FIMU;1143
2016-05-08;Dimanche;H;Excursionniste;Journee;Résident ;All-FIMU;709
2016-05-08;Dimanche;H;Excursionniste;Journee;Touriste Français;All-FIMU;268
2016-05-08;Dimanche;NR;Visiteur;Journee;Résident ;All-FIMU;209
2016-05-08;Dimanche;NR;Visiteur;Journee;Touriste Français;All-FIMU;29
2016-05-08;Dimanche;NR;Excursionniste;Journee;Résident ;All-FIMU;39
2016-05-08;Dimanche;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-05-09;Lundi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;13205
2016-05-09;Lundi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3463
2016-05-09;Lundi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2170
2016-05-09;Lundi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;723
2016-05-09;Lundi;F;Visiteur;Journee;Résident ;All-FIMU;6673
2016-05-09;Lundi;F;Visiteur;Journee;Touriste Français;All-FIMU;1582
2016-05-09;Lundi;F;Excursionniste;Journee;Résident ;All-FIMU;1050
2016-05-09;Lundi;F;Excursionniste;Journee;Touriste Français;All-FIMU;330
2016-05-09;Lundi;H;Visiteur;Journee;Résident ;All-FIMU;6132
2016-05-09;Lundi;H;Visiteur;Journee;Touriste Français;All-FIMU;1796
2016-05-09;Lundi;H;Excursionniste;Journee;Résident ;All-FIMU;1020
2016-05-09;Lundi;H;Excursionniste;Journee;Touriste Français;All-FIMU;372
2016-05-09;Lundi;NR;Visiteur;Journee;Résident ;All-FIMU;400
2016-05-09;Lundi;NR;Visiteur;Journee;Touriste Français;All-FIMU;85
2016-05-09;Lundi;NR;Excursionniste;Journee;Résident ;All-FIMU;100
2016-05-09;Lundi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;21
