Date;JourDeLaSemaine;Geolife;CSP;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-24;Dimanche;rural traditionnel;Populaire;Visiteur;Journee;Résident ;All-FIMU;108
2016-04-24;Dimanche;rural traditionnel;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;182
2016-04-24;Dimanche;rural traditionnel;Populaire;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-24;Dimanche;rural traditionnel;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;63
2016-04-24;Dimanche;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;2566
2016-04-24;Dimanche;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;247
2016-04-24;Dimanche;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;314
2016-04-24;Dimanche;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;42
2016-04-24;Dimanche;urbain defavorise;Populaire;Visiteur;Journee;Résident ;All-FIMU;688
2016-04-24;Dimanche;urbain defavorise;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;101
2016-04-24;Dimanche;urbain defavorise;Populaire;Excursionniste;Journee;Résident ;All-FIMU;157
2016-04-24;Dimanche;urbain defavorise;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-24;Dimanche;urbain dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;2842
2016-04-24;Dimanche;urbain dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;94
2016-04-24;Dimanche;urbain dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;570
2016-04-24;Dimanche;urbain dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;42
2016-04-24;Dimanche;urbain familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;87
2016-04-24;Dimanche;urbain familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;21
2016-04-25;Lundi;CUMUL;CUMUL;Visiteur;Journee;Résident ;All-FIMU;12817
2016-04-25;Lundi;CUMUL;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3151
2016-04-25;Lundi;CUMUL;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2121
2016-04-25;Lundi;CUMUL;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;599
2016-04-25;Lundi;NR;NR;Visiteur;Journee;Résident ;All-FIMU;384
2016-04-25;Lundi;NR;NR;Visiteur;Journee;Touriste Français;All-FIMU;41
2016-04-25;Lundi;NR;NR;Excursionniste;Journee;Résident ;All-FIMU;68
2016-04-25;Lundi;NR;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-25;Lundi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Résident ;All-FIMU;1191
2016-04-25;Lundi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;412
2016-04-25;Lundi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Résident ;All-FIMU;147
2016-04-25;Lundi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;60
2016-04-25;Lundi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;1388
2016-04-25;Lundi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;496
2016-04-25;Lundi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;256
2016-04-25;Lundi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;60
2016-04-25;Lundi;populaire;Populaire;Visiteur;Journee;Résident ;All-FIMU;1191
2016-04-25;Lundi;populaire;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;237
2016-04-25;Lundi;populaire;Populaire;Excursionniste;Journee;Résident ;All-FIMU;128
2016-04-25;Lundi;populaire;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-25;Lundi;residence secondaire;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;41
2016-04-25;Lundi;residence secondaire;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-25;Lundi;rural dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;512
2016-04-25;Lundi;rural dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;286
2016-04-25;Lundi;rural dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;68
2016-04-25;Lundi;rural dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;53
2016-04-25;Lundi;rural ouvrier;Populaire;Visiteur;Journee;Résident ;All-FIMU;275
2016-04-25;Lundi;rural ouvrier;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;698
2016-04-25;Lundi;rural ouvrier;Populaire;Excursionniste;Journee;Résident ;All-FIMU;39
2016-04-25;Lundi;rural ouvrier;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;167
2016-04-25;Lundi;rural traditionnel;Populaire;Visiteur;Journee;Résident ;All-FIMU;492
2016-04-25;Lundi;rural traditionnel;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;188
2016-04-25;Lundi;rural traditionnel;Populaire;Excursionniste;Journee;Résident ;All-FIMU;49
2016-04-25;Lundi;rural traditionnel;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;53
2016-04-25;Lundi;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;3328
2016-04-25;Lundi;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;391
2016-04-25;Lundi;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;462
2016-04-25;Lundi;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;60
2016-04-25;Lundi;urbain defavorise;Populaire;Visiteur;Journee;Résident ;All-FIMU;955
2016-04-25;Lundi;urbain defavorise;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;139
2016-04-25;Lundi;urbain defavorise;Populaire;Excursionniste;Journee;Résident ;All-FIMU;324
2016-04-25;Lundi;urbain defavorise;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;40
2016-04-25;Lundi;urbain dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;3101
2016-04-25;Lundi;urbain dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;146
2016-04-25;Lundi;urbain dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;580
2016-04-25;Lundi;urbain dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;60
2016-04-25;Lundi;urbain familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;76
2016-04-26;Mardi;CUMUL;CUMUL;Visiteur;Journee;Résident ;All-FIMU;13293
2016-04-26;Mardi;CUMUL;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3343
2016-04-26;Mardi;CUMUL;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2076
2016-04-26;Mardi;CUMUL;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;711
2016-04-26;Mardi;NR;NR;Visiteur;Journee;Résident ;All-FIMU;364
2016-04-26;Mardi;NR;NR;Visiteur;Journee;Touriste Français;All-FIMU;62
2016-04-26;Mardi;NR;NR;Excursionniste;Journee;Résident ;All-FIMU;98
2016-04-26;Mardi;NR;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-26;Mardi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Résident ;All-FIMU;1370
2016-04-26;Mardi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;544
2016-04-26;Mardi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Résident ;All-FIMU;187
2016-04-26;Mardi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;100
2016-04-26;Mardi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;1478
2016-04-26;Mardi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;425
2016-04-26;Mardi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;207
2016-04-26;Mardi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;80
2016-04-26;Mardi;populaire;Populaire;Visiteur;Journee;Résident ;All-FIMU;1192
2016-04-26;Mardi;populaire;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;216
2016-04-26;Mardi;populaire;Populaire;Excursionniste;Journee;Résident ;All-FIMU;138
2016-04-26;Mardi;populaire;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-26;Mardi;residence secondaire;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;55
2016-04-26;Mardi;residence secondaire;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-26;Mardi;rural dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;502
2016-04-26;Mardi;rural dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;265
