Date;JourDeLaSemaine;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-25;Lundi;Visiteur;9J;Touriste Etranger;All-FIMU;2643
2016-04-25;Lundi;Visiteur;10J;Résident ;All-FIMU;25967
2016-04-25;Lundi;Visiteur;10J;Touriste Français;All-FIMU;9555
2016-04-25;Lundi;Visiteur;10J;Touriste Etranger;All-FIMU;2643
2016-04-25;Lundi;Visiteur;11J;Résident ;All-FIMU;25967
2016-04-25;Lundi;Visiteur;11J;Touriste Français;All-FIMU;9555
2016-04-25;Lundi;Visiteur;11J;Touriste Etranger;All-FIMU;2643
2016-04-25;Lundi;Visiteur;12J;Résident ;All-FIMU;25967
2016-04-25;Lundi;Visiteur;12J;Touriste Français;All-FIMU;9555
2016-04-25;Lundi;Visiteur;12J;Touriste Etranger;All-FIMU;2643
2016-04-25;Lundi;Visiteur;13J;Résident ;All-FIMU;25967
2016-04-25;Lundi;Visiteur;13J;Touriste Français;All-FIMU;9555
2016-04-25;Lundi;Visiteur;13J;Touriste Etranger;All-FIMU;2643
2016-04-25;Lundi;Visiteur;14J;Résident ;All-FIMU;25967
2016-04-25;Lundi;Visiteur;14J;Touriste Français;All-FIMU;9555
2016-04-25;Lundi;Visiteur;14J;Touriste Etranger;All-FIMU;2643
2016-04-26;Mardi;Visiteur;1J;Résident ;All-FIMU;13299
2016-04-26;Mardi;Visiteur;1J;Touriste Français;All-FIMU;3350
2016-04-26;Mardi;Visiteur;1J;Touriste Etranger;All-FIMU;897
2016-04-26;Mardi;Visiteur;2J;Résident ;All-FIMU;17578
2016-04-26;Mardi;Visiteur;2J;Touriste Français;All-FIMU;4800
2016-04-26;Mardi;Visiteur;2J;Touriste Etranger;All-FIMU;1459
2016-04-26;Mardi;Visiteur;3J;Résident ;All-FIMU;19421
2016-04-26;Mardi;Visiteur;3J;Touriste Français;All-FIMU;5863
2016-04-26;Mardi;Visiteur;3J;Touriste Etranger;All-FIMU;1835
2016-04-26;Mardi;Visiteur;4J;Résident ;All-FIMU;22241
2016-04-26;Mardi;Visiteur;4J;Touriste Français;All-FIMU;7626
2016-04-26;Mardi;Visiteur;4J;Touriste Etranger;All-FIMU;2348
2016-04-26;Mardi;Visiteur;5J;Résident ;All-FIMU;26194
2016-04-26;Mardi;Visiteur;5J;Touriste Français;All-FIMU;9389
2016-04-26;Mardi;Visiteur;5J;Touriste Etranger;All-FIMU;2767
2016-04-26;Mardi;Visiteur;6J;Résident ;All-FIMU;28827
2016-04-26;Mardi;Visiteur;6J;Touriste Français;All-FIMU;10932
2016-04-26;Mardi;Visiteur;6J;Touriste Etranger;All-FIMU;3154
2016-04-26;Mardi;Visiteur;7J;Résident ;All-FIMU;28827
2016-04-26;Mardi;Visiteur;7J;Touriste Français;All-FIMU;10932
2016-04-26;Mardi;Visiteur;7J;Touriste Etranger;All-FIMU;3154
2016-04-26;Mardi;Visiteur;8J;Résident ;All-FIMU;28827
2016-04-26;Mardi;Visiteur;8J;Touriste Français;All-FIMU;10932
2016-04-26;Mardi;Visiteur;8J;Touriste Etranger;All-FIMU;3154
2016-04-26;Mardi;Visiteur;9J;Résident ;All-FIMU;28827
2016-04-26;Mardi;Visiteur;9J;Touriste Français;All-FIMU;10932
2016-04-26;Mardi;Visiteur;9J;Touriste Etranger;All-FIMU;3154
