Date;JourDeLaSemaine;Heure;Presence30Min;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-25;Lundi;15:30:00;Présent;Résident ;All-FIMU;7995
2016-04-25;Lundi;15:30:00;Présent;Touriste Français;All-FIMU;2056
2016-04-25;Lundi;15:30:00;Présent;Touriste Etranger;All-FIMU;221
2016-04-25;Lundi;16:00:00;Présent;Résident ;All-FIMU;8152
2016-04-25;Lundi;16:00:00;Présent;Touriste Français;All-FIMU;2024
2016-04-25;Lundi;16:00:00;Présent;Touriste Etranger;All-FIMU;229
2016-04-25;Lundi;16:30:00;Présent;Résident ;All-FIMU;8406
2016-04-25;Lundi;16:30:00;Présent;Touriste Français;All-FIMU;2061
2016-04-25;Lundi;16:30:00;Présent;Touriste Etranger;All-FIMU;234
2016-04-25;Lundi;17:00:00;Présent;Résident ;All-FIMU;8707
2016-04-25;Lundi;17:00:00;Présent;Touriste Français;All-FIMU;2195
2016-04-25;Lundi;17:00:00;Présent;Touriste Etranger;All-FIMU;266
2016-04-25;Lundi;17:30:00;Présent;Résident ;All-FIMU;8781
2016-04-25;Lundi;17:30:00;Présent;Touriste Français;All-FIMU;2430
2016-04-25;Lundi;17:30:00;Présent;Touriste Etranger;All-FIMU;323
2016-04-25;Lundi;18:00:00;Présent;Résident ;All-FIMU;8183
2016-04-25;Lundi;18:00:00;Présent;Touriste Français;All-FIMU;2444
2016-04-25;Lundi;18:00:00;Présent;Touriste Etranger;All-FIMU;397
2016-04-25;Lundi;18:30:00;Présent;Résident ;All-FIMU;7576
2016-04-25;Lundi;18:30:00;Présent;Touriste Français;All-FIMU;2298
2016-04-25;Lundi;18:30:00;Présent;Touriste Etranger;All-FIMU;467
2016-04-25;Lundi;19:00:00;Présent;Résident ;All-FIMU;7058
2016-04-25;Lundi;19:00:00;Présent;Touriste Français;All-FIMU;1949
2016-04-25;Lundi;19:00:00;Présent;Touriste Etranger;All-FIMU;462
2016-04-25;Lundi;19:30:00;Présent;Résident ;All-FIMU;6683
2016-04-25;Lundi;19:30:00;Présent;Touriste Français;All-FIMU;1782
2016-04-25;Lundi;19:30:00;Présent;Touriste Etranger;All-FIMU;462
2016-04-25;Lundi;20:00:00;Présent;Résident ;All-FIMU;6211
2016-04-25;Lundi;20:00:00;Présent;Touriste Français;All-FIMU;1741
2016-04-25;Lundi;20:00:00;Présent;Touriste Etranger;All-FIMU;427
2016-04-25;Lundi;20:30:00;Présent;Résident ;All-FIMU;6060
2016-04-25;Lundi;20:30:00;Présent;Touriste Français;All-FIMU;1603
2016-04-25;Lundi;20:30:00;Présent;Touriste Etranger;All-FIMU;439
2016-04-25;Lundi;21:00:00;Présent;Résident ;All-FIMU;5910
2016-04-25;Lundi;21:00:00;Présent;Touriste Français;All-FIMU;1438
2016-04-25;Lundi;21:00:00;Présent;Touriste Etranger;All-FIMU;437
2016-04-25;Lundi;21:30:00;Présent;Résident ;All-FIMU;5621
2016-04-25;Lundi;21:30:00;Présent;Touriste Français;All-FIMU;1294
2016-04-25;Lundi;21:30:00;Présent;Touriste Etranger;All-FIMU;434
2016-04-25;Lundi;22:00:00;Présent;Résident ;All-FIMU;5274
2016-04-25;Lundi;22:00:00;Présent;Touriste Français;All-FIMU;1089
2016-04-25;Lundi;22:00:00;Présent;Touriste Etranger;All-FIMU;424
2016-04-25;Lundi;22:30:00;Présent;Résident ;All-FIMU;5196
2016-04-25;Lundi;22:30:00;Présent;Touriste Français;All-FIMU;1057
2016-04-25;Lundi;22:30:00;Présent;Touriste Etranger;All-FIMU;414
2016-04-25;Lundi;23:00:00;Présent;Résident ;All-FIMU;5055
2016-04-25;Lundi;23:00:00;Présent;Touriste Français;All-FIMU;1039
2016-04-25;Lundi;23:00:00;Présent;Touriste Etranger;All-FIMU;391
2016-04-25;Lundi;23:30:00;Présent;Résident ;All-FIMU;4932
2016-04-25;Lundi;23:30:00;Présent;Touriste Français;All-FIMU;1023
2016-04-25;Lundi;23:30:00;Présent;Touriste Etranger;All-FIMU;372
2016-04-26;Mardi;12:00:00;Présent;Résident ;All-FIMU;8130
2016-04-26;Mardi;12:00:00;Présent;Touriste Français;All-FIMU;2430
2016-04-26;Mardi;12:00:00;Présent;Touriste Etranger;All-FIMU;242
2016-04-26;Mardi;12:30:00;Présent;Résident ;All-FIMU;7788
2016-04-26;Mardi;12:30:00;Présent;Touriste Français;All-FIMU;2561
2016-04-26;Mardi;12:30:00;Présent;Touriste Etranger;All-FIMU;271
2016-04-26;Mardi;13:00:00;Présent;Résident ;All-FIMU;7914
2016-04-26;Mardi;13:00:00;Présent;Touriste Français;All-FIMU;2639
2016-04-26;Mardi;13:00:00;Présent;Touriste Etranger;All-FIMU;267
2016-04-26;Mardi;13:30:00;Présent;Résident ;All-FIMU;7639
2016-04-26;Mardi;13:30:00;Présent;Touriste Français;All-FIMU;2368
2016-04-26;Mardi;13:30:00;Présent;Touriste Etranger;All-FIMU;294
2016-04-26;Mardi;14:00:00;Présent;Résident ;All-FIMU;8023
2016-04-26;Mardi;14:00:00;Présent;Touriste Français;All-FIMU;2258
2016-04-26;Mardi;14:00:00;Présent;Touriste Etranger;All-FIMU;307
2016-04-26;Mardi;14:30:00;Présent;Résident ;All-FIMU;7974
2016-04-26;Mardi;14:30:00;Présent;Touriste Français;All-FIMU;2188
2016-04-26;Mardi;14:30:00;Présent;Touriste Etranger;All-FIMU;387
2016-04-26;Mardi;15:00:00;Présent;Résident ;All-FIMU;7997
2016-04-26;Mardi;15:00:00;Présent;Touriste Français;All-FIMU;2220
2016-04-26;Mardi;15:00:00;Présent;Touriste Etranger;All-FIMU;447
2016-04-26;Mardi;15:30:00;Présent;Résident ;All-FIMU;7987
2016-04-26;Mardi;15:30:00;Présent;Touriste Français;All-FIMU;2260
2016-04-26;Mardi;15:30:00;Présent;Touriste Etranger;All-FIMU;439
2016-04-26;Mardi;16:00:00;Présent;Résident ;All-FIMU;8160
2016-04-26;Mardi;16:00:00;Présent;Touriste Français;All-FIMU;2315
2016-04-26;Mardi;16:00:00;Présent;Touriste Etranger;All-FIMU;406
2016-04-26;Mardi;16:30:00;Présent;Résident ;All-FIMU;8291
2016-04-26;Mardi;16:30:00;Présent;Touriste Français;All-FIMU;2394
2016-04-26;Mardi;16:30:00;Présent;Touriste Etranger;All-FIMU;392
2016-04-26;Mardi;17:00:00;Présent;Résident ;All-FIMU;8443
2016-04-26;Mardi;17:00:00;Présent;Touriste Français;All-FIMU;2436
2016-04-26;Mardi;17:00:00;Présent;Touriste Etranger;All-FIMU;434
2016-04-26;Mardi;17:30:00;Présent;Résident ;All-FIMU;8303
2016-04-26;Mardi;17:30:00;Présent;Touriste Français;All-FIMU;2342
2016-04-26;Mardi;17:30:00;Présent;Touriste Etranger;All-FIMU;516
2016-04-26;Mardi;18:00:00;Présent;Résident ;All-FIMU;8012
2016-04-26;Mardi;18:00:00;Présent;Touriste Français;All-FIMU;2022
2016-04-26;Mardi;18:00:00;Présent;Touriste Etranger;All-FIMU;503
2016-04-26;Mardi;18:30:00;Présent;Résident ;All-FIMU;7742
2016-04-26;Mardi;18:30:00;Présent;Touriste Français;All-FIMU;1936
2016-04-26;Mardi;18:30:00;Présent;Touriste Etranger;All-FIMU;606
2016-04-26;Mardi;19:00:00;Présent;Résident ;All-FIMU;7712
2016-04-26;Mardi;19:00:00;Présent;Touriste Français;All-FIMU;1893
2016-04-26;Mardi;19:00:00;Présent;Touriste Etranger;All-FIMU;539
2016-04-26;Mardi;19:30:00;Présent;Résident ;All-FIMU;7319
