Date;JourDeLaSemaine;DureeVisite;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-27;Mercredi;Duree7h;Résident ;All-FIMU;829
2016-04-27;Mercredi;Duree7h;Touriste Français;All-FIMU;204
2016-04-27;Mercredi;Duree7h;Touriste Etranger;All-FIMU;32
2016-04-27;Mercredi;Duree8h;Résident ;All-FIMU;631
2016-04-27;Mercredi;Duree8h;Touriste Français;All-FIMU;130
2016-04-27;Mercredi;Duree8h;Touriste Etranger;All-FIMU;23
2016-04-27;Mercredi;Duree9h;Résident ;All-FIMU;641
2016-04-27;Mercredi;Duree9h;Touriste Français;All-FIMU;131
2016-04-27;Mercredi;Duree9h;Touriste Etranger;All-FIMU;#
2016-04-27;Mercredi;Duree10h;Résident ;All-FIMU;355
2016-04-27;Mercredi;Duree10h;Touriste Français;All-FIMU;90
2016-04-27;Mercredi;Duree10h;Touriste Etranger;All-FIMU;#
2016-04-27;Mercredi;Duree10h-18h;Résident ;All-FIMU;2003
2016-04-27;Mercredi;Duree10h-18h;Touriste Français;All-FIMU;226
2016-04-27;Mercredi;Duree10h-18h;Touriste Etranger;All-FIMU;90
2016-04-28;Jeudi;Duree1h;Résident ;All-FIMU;4831
2016-04-28;Jeudi;Duree1h;Touriste Français;All-FIMU;1504
2016-04-28;Jeudi;Duree1h;Touriste Etranger;All-FIMU;304
2016-04-28;Jeudi;Duree2h;Résident ;All-FIMU;2509
2016-04-28;Jeudi;Duree2h;Touriste Français;All-FIMU;1022
2016-04-28;Jeudi;Duree2h;Touriste Etranger;All-FIMU;115
2016-04-28;Jeudi;Duree3h;Résident ;All-FIMU;2747
2016-04-28;Jeudi;Duree3h;Touriste Français;All-FIMU;828
2016-04-28;Jeudi;Duree3h;Touriste Etranger;All-FIMU;165
2016-04-28;Jeudi;Duree4h;Résident ;All-FIMU;2094
2016-04-28;Jeudi;Duree4h;Touriste Français;All-FIMU;535
2016-04-28;Jeudi;Duree4h;Touriste Etranger;All-FIMU;241
2016-04-28;Jeudi;Duree5h;Résident ;All-FIMU;978
2016-04-28;Jeudi;Duree5h;Touriste Français;All-FIMU;330
2016-04-28;Jeudi;Duree5h;Touriste Etranger;All-FIMU;53
2016-04-28;Jeudi;Duree6h;Résident ;All-FIMU;1393
