Date;JourDeLaSemaine;Age;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-28;Jeudi;25-34 ans;Visiteur;Journee;Résident ;All-FIMU;1165
2016-04-28;Jeudi;25-34 ans;Visiteur;Journee;Touriste Français;All-FIMU;415
2016-04-28;Jeudi;25-34 ans;Excursionniste;Journee;Résident ;All-FIMU;158
2016-04-28;Jeudi;25-34 ans;Excursionniste;Journee;Touriste Français;All-FIMU;60
2016-04-28;Jeudi;35-44 ans;Visiteur;Journee;Résident ;All-FIMU;2173
2016-04-28;Jeudi;35-44 ans;Visiteur;Journee;Touriste Français;All-FIMU;556
2016-04-28;Jeudi;35-44 ans;Excursionniste;Journee;Résident ;All-FIMU;365
2016-04-28;Jeudi;35-44 ans;Excursionniste;Journee;Touriste Français;All-FIMU;100
2016-04-28;Jeudi;45-54 ans;Visiteur;Journee;Résident ;All-FIMU;3280
2016-04-28;Jeudi;45-54 ans;Visiteur;Journee;Touriste Français;All-FIMU;972
2016-04-28;Jeudi;45-54 ans;Excursionniste;Journee;Résident ;All-FIMU;513
2016-04-28;Jeudi;45-54 ans;Excursionniste;Journee;Touriste Français;All-FIMU;188
2016-04-28;Jeudi;55-64 ans;Visiteur;Journee;Résident ;All-FIMU;2509
2016-04-28;Jeudi;55-64 ans;Visiteur;Journee;Touriste Français;All-FIMU;768
2016-04-28;Jeudi;55-64 ans;Excursionniste;Journee;Résident ;All-FIMU;365
2016-04-28;Jeudi;55-64 ans;Excursionniste;Journee;Touriste Français;All-FIMU;141
2016-04-28;Jeudi;65 ans et +;Visiteur;Journee;Résident ;All-FIMU;2944
2016-04-28;Jeudi;65 ans et +;Visiteur;Journee;Touriste Français;All-FIMU;613
2016-04-28;Jeudi;65 ans et +;Excursionniste;Journee;Résident ;All-FIMU;592
2016-04-28;Jeudi;65 ans et +;Excursionniste;Journee;Touriste Français;All-FIMU;147
2016-04-28;Jeudi;NR;Visiteur;Journee;Résident ;All-FIMU;1867
2016-04-28;Jeudi;NR;Visiteur;Journee;Touriste Français;All-FIMU;465
2016-04-28;Jeudi;NR;Excursionniste;Journee;Résident ;All-FIMU;296
2016-04-28;Jeudi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;87
2016-04-29;Vendredi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;14686
2016-04-29;Vendredi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3930
2016-04-29;Vendredi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2488
2016-04-29;Vendredi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;653
2016-04-29;Vendredi;18-24 ans;Visiteur;Journee;Résident ;All-FIMU;217
2016-04-29;Vendredi;18-24 ans;Visiteur;Journee;Touriste Français;All-FIMU;196
2016-04-29;Vendredi;18-24 ans;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-29;Vendredi;18-24 ans;Excursionniste;Journee;Touriste Français;All-FIMU;27
2016-04-29;Vendredi;25-34 ans;Visiteur;Journee;Résident ;All-FIMU;1078
2016-04-29;Vendredi;25-34 ans;Visiteur;Journee;Touriste Français;All-FIMU;498
2016-04-29;Vendredi;25-34 ans;Excursionniste;Journee;Résident ;All-FIMU;187
2016-04-29;Vendredi;25-34 ans;Excursionniste;Journee;Touriste Français;All-FIMU;88
2016-04-29;Vendredi;35-44 ans;Visiteur;Journee;Résident ;All-FIMU;2453
2016-04-29;Vendredi;35-44 ans;Visiteur;Journee;Touriste Français;All-FIMU;646
