Date;JourDeLaSemaine;Geolife;CSP;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;populaire;Populaire;Visiteur;5J;Touriste Français;All-FIMU;331
2016-04-22;Vendredi;populaire;Populaire;Visiteur;6J;Résident ;All-FIMU;1982
2016-04-22;Vendredi;populaire;Populaire;Visiteur;6J;Touriste Français;All-FIMU;331
2016-04-22;Vendredi;populaire;Populaire;Visiteur;7J;Résident ;All-FIMU;1982
2016-04-22;Vendredi;populaire;Populaire;Visiteur;7J;Touriste Français;All-FIMU;331
2016-04-22;Vendredi;populaire;Populaire;Visiteur;8J;Résident ;All-FIMU;1982
2016-04-22;Vendredi;populaire;Populaire;Visiteur;8J;Touriste Français;All-FIMU;331
2016-04-22;Vendredi;populaire;Populaire;Visiteur;9J;Résident ;All-FIMU;1982
2016-04-22;Vendredi;populaire;Populaire;Visiteur;9J;Touriste Français;All-FIMU;331
2016-04-22;Vendredi;populaire;Populaire;Visiteur;10J;Résident ;All-FIMU;1982
2016-04-22;Vendredi;populaire;Populaire;Visiteur;10J;Touriste Français;All-FIMU;331
2016-04-22;Vendredi;populaire;Populaire;Visiteur;11J;Résident ;All-FIMU;1982
2016-04-22;Vendredi;populaire;Populaire;Visiteur;11J;Touriste Français;All-FIMU;331
2016-04-22;Vendredi;populaire;Populaire;Visiteur;12J;Résident ;All-FIMU;1982
2016-04-22;Vendredi;populaire;Populaire;Visiteur;12J;Touriste Français;All-FIMU;331
2016-04-22;Vendredi;populaire;Populaire;Visiteur;13J;Résident ;All-FIMU;1982
2016-04-22;Vendredi;populaire;Populaire;Visiteur;13J;Touriste Français;All-FIMU;331
2016-04-22;Vendredi;populaire;Populaire;Visiteur;14J;Résident ;All-FIMU;1982
2016-04-22;Vendredi;populaire;Populaire;Visiteur;14J;Touriste Français;All-FIMU;331
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Visiteur;1J;Touriste Français;All-FIMU;41
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Visiteur;2J;Touriste Français;All-FIMU;75
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Visiteur;3J;Touriste Français;All-FIMU;75
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Visiteur;4J;Touriste Français;All-FIMU;75
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Visiteur;5J;Touriste Français;All-FIMU;75
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Visiteur;6J;Touriste Français;All-FIMU;75
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Visiteur;7J;Touriste Français;All-FIMU;75
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Visiteur;8J;Touriste Français;All-FIMU;75
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Visiteur;9J;Touriste Français;All-FIMU;75
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Visiteur;10J;Touriste Français;All-FIMU;75
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Visiteur;11J;Touriste Français;All-FIMU;75
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Visiteur;12J;Touriste Français;All-FIMU;75
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Visiteur;13J;Touriste Français;All-FIMU;75
2016-04-22;Vendredi;residence secondaire;CSP en croissance;Visiteur;14J;Touriste Français;All-FIMU;75
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;1J;Résident ;All-FIMU;471
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;1J;Touriste Français;All-FIMU;318
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;2J;Résident ;All-FIMU;706
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;2J;Touriste Français;All-FIMU;531
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;3J;Résident ;All-FIMU;706
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;3J;Touriste Français;All-FIMU;531
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;4J;Résident ;All-FIMU;706
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;4J;Touriste Français;All-FIMU;531
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;5J;Résident ;All-FIMU;706
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;5J;Touriste Français;All-FIMU;531
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;6J;Résident ;All-FIMU;706
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;6J;Touriste Français;All-FIMU;531
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;7J;Résident ;All-FIMU;706
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;7J;Touriste Français;All-FIMU;531
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;8J;Résident ;All-FIMU;706
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;8J;Touriste Français;All-FIMU;531
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;9J;Résident ;All-FIMU;706
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;9J;Touriste Français;All-FIMU;531
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;10J;Résident ;All-FIMU;706
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;10J;Touriste Français;All-FIMU;531
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;11J;Résident ;All-FIMU;706
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;11J;Touriste Français;All-FIMU;531
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;12J;Résident ;All-FIMU;706
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;12J;Touriste Français;All-FIMU;531
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;13J;Résident ;All-FIMU;706
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;13J;Touriste Français;All-FIMU;531
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;14J;Résident ;All-FIMU;706
2016-04-22;Vendredi;rural dynamique;CSP+;Visiteur;14J;Touriste Français;All-FIMU;531
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;1J;Résident ;All-FIMU;304
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;1J;Touriste Français;All-FIMU;679
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;2J;Résident ;All-FIMU;421
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;2J;Touriste Français;All-FIMU;1153
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;3J;Résident ;All-FIMU;421
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;3J;Touriste Français;All-FIMU;1153
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;4J;Résident ;All-FIMU;421
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;4J;Touriste Français;All-FIMU;1153
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;5J;Résident ;All-FIMU;421
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;5J;Touriste Français;All-FIMU;1153
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;6J;Résident ;All-FIMU;421
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;6J;Touriste Français;All-FIMU;1153
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;7J;Résident ;All-FIMU;421
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;7J;Touriste Français;All-FIMU;1153
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;8J;Résident ;All-FIMU;421
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;8J;Touriste Français;All-FIMU;1153
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;9J;Résident ;All-FIMU;421
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;9J;Touriste Français;All-FIMU;1153
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;10J;Résident ;All-FIMU;421
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;10J;Touriste Français;All-FIMU;1153
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;11J;Résident ;All-FIMU;421
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;11J;Touriste Français;All-FIMU;1153
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;12J;Résident ;All-FIMU;421
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;12J;Touriste Français;All-FIMU;1153
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;13J;Résident ;All-FIMU;421
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;13J;Touriste Français;All-FIMU;1153
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;14J;Résident ;All-FIMU;421
2016-04-22;Vendredi;rural ouvrier;Populaire;Visiteur;14J;Touriste Français;All-FIMU;1153
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;1J;Résident ;All-FIMU;392
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;1J;Touriste Français;All-FIMU;187
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;2J;Résident ;All-FIMU;657
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;2J;Touriste Français;All-FIMU;303
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;3J;Résident ;All-FIMU;657
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;3J;Touriste Français;All-FIMU;303
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;4J;Résident ;All-FIMU;657
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;4J;Touriste Français;All-FIMU;303
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;5J;Résident ;All-FIMU;657
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;5J;Touriste Français;All-FIMU;303
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;6J;Résident ;All-FIMU;657
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;6J;Touriste Français;All-FIMU;303
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;7J;Résident ;All-FIMU;657
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;7J;Touriste Français;All-FIMU;303
2016-04-22;Vendredi;rural traditionnel;Populaire;Visiteur;8J;Résident ;All-FIMU;657
